,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare
105,106,3,1.0,28.0,0,0,7.8958
68,69,3,0.0,17.0,4,2,7.925
253,254,3,1.0,30.0,1,0,16.1
320,321,3,1.0,22.0,0,0,7.25
706,707,2,0.0,45.0,0,0,13.5
271,272,3,1.0,25.0,0,0,0.0
424,425,3,1.0,18.0,1,1,20.2125
752,753,3,1.0,33.0,0,0,9.5
615,616,2,0.0,24.0,1,2,65.0
2,3,3,0.0,26.0,0,0,7.925
882,883,3,0.0,22.0,0,0,10.5167
467,468,1,1.0,56.0,0,0,26.55
403,404,3,1.0,28.0,1,0,15.85
258,259,1,0.0,35.0,0,0,200.0
720,721,2,0.0,6.0,0,1,33.0
272,273,2,0.0,41.0,0,1,19.5
154,155,3,1.0,28.0,0,0,7.3125
832,833,3,1.0,28.0,0,0,7.2292
820,821,1,0.0,52.0,1,1,93.5
382,383,3,1.0,32.0,0,0,7.925
20,21,2,1.0,35.0,0,0,26.0
585,586,1,0.0,18.0,0,2,79.65
65,66,3,1.0,28.0,1,1,15.2458
680,681,3,0.0,28.0,0,0,8.1375
878,879,3,1.0,28.0,0,0,7.8958
304,305,3,1.0,28.0,0,0,8.05
823,824,3,0.0,27.0,0,1,12.475
521,522,3,1.0,22.0,0,0,7.8958
333,334,3,1.0,16.0,2,0,18.0
698,699,1,1.0,49.0,1,1,110.8833
481,482,2,1.0,28.0,0,0,0.0
71,72,3,0.0,16.0,5,2,46.9
49,50,3,0.0,18.0,1,0,17.8
573,574,3,0.0,28.0,0,0,7.75
338,339,3,1.0,45.0,0,0,8.05
261,262,3,1.0,3.0,4,2,31.3875
116,117,3,1.0,70.5,0,0,7.75
76,77,3,1.0,28.0,0,0,7.8958
48,49,3,1.0,28.0,2,0,21.6792
843,844,3,1.0,34.5,0,0,6.4375
263,264,1,1.0,40.0,0,0,0.0
718,719,3,1.0,28.0,0,0,15.5
620,621,3,1.0,27.0,1,0,14.4542
786,787,3,0.0,18.0,0,0,7.4958
64,65,1,1.0,28.0,0,0,27.7208
857,858,1,1.0,51.0,0,0,26.55
52,53,1,0.0,49.0,1,0,76.7292
386,387,3,1.0,1.0,5,2,46.9
124,125,1,1.0,54.0,0,1,77.2875
578,579,3,0.0,28.0,1,0,14.4583
549,550,2,1.0,8.0,1,1,36.75
118,119,1,1.0,24.0,0,1,200.0
12,13,3,1.0,20.0,0,0,8.05
157,158,3,1.0,30.0,0,0,8.05
127,128,3,1.0,24.0,0,0,7.1417
653,654,3,0.0,28.0,0,0,7.8292
235,236,3,0.0,28.0,0,0,7.55
785,786,3,1.0,25.0,0,0,7.25
241,242,3,0.0,28.0,1,0,15.5
351,352,1,1.0,28.0,0,0,35.0
862,863,1,0.0,48.0,0,0,25.9292
851,852,3,1.0,74.0,0,0,7.775
753,754,3,1.0,23.0,0,0,7.8958
532,533,3,1.0,17.0,1,1,7.2292
485,486,3,0.0,28.0,3,1,25.4667
695,696,2,1.0,52.0,0,0,13.5
475,476,1,1.0,28.0,0,0,52.0
17,18,2,1.0,28.0,0,0,13.0
476,477,2,1.0,34.0,1,0,21.0
533,534,3,0.0,28.0,0,2,22.3583
416,417,2,0.0,34.0,1,1,32.5
345,346,2,0.0,24.0,0,0,13.0
242,243,2,1.0,29.0,0,0,10.5
344,345,2,1.0,36.0,0,0,13.0
170,171,1,1.0,61.0,0,0,33.5
187,188,1,1.0,45.0,0,0,26.55
800,801,2,1.0,34.0,0,0,13.0
457,458,1,0.0,28.0,1,0,51.8625
652,653,3,1.0,21.0,0,0,8.4333
451,452,3,1.0,28.0,1,0,19.9667
78,79,2,1.0,0.83,0,2,29.0
889,890,1,1.0,26.0,0,0,30.0
198,199,3,0.0,28.0,0,0,7.75
492,493,1,1.0,55.0,0,0,30.5
813,814,3,0.0,6.0,4,2,31.275
526,527,2,0.0,50.0,0,0,10.5
870,871,3,1.0,26.0,0,0,7.8958
21,22,2,1.0,34.0,0,0,13.0
885,886,3,0.0,39.0,0,5,29.125
799,800,3,0.0,30.0,1,1,24.15
250,251,3,1.0,28.0,0,0,7.25
243,244,3,1.0,22.0,0,0,7.125
701,702,1,1.0,35.0,0,0,26.2875
35,36,1,1.0,42.0,1,0,52.0
81,82,3,1.0,29.0,0,0,9.5
159,160,3,1.0,28.0,8,2,69.55
744,745,3,1.0,31.0,0,0,7.925
524,525,3,1.0,28.0,0,0,7.2292
109,110,3,0.0,28.0,1,0,24.15
337,338,1,0.0,41.0,0,0,134.5
443,444,2,0.0,28.0,0,0,13.0
92,93,1,1.0,46.0,1,0,61.175
364,365,3,1.0,28.0,1,0,15.5
434,435,1,1.0,50.0,1,0,55.9
465,466,3,1.0,38.0,0,0,7.05
731,732,3,1.0,11.0,0,0,18.7875
876,877,3,1.0,20.0,0,0,9.8458
